Frame#,time,Hip_X,Hip_Y,RHip_X,RHip_Y,RKnee_X,RKnee_Y,RAnkle_X,RAnkle_Y,RBigToe_X,RBigToe_Y,RSmallToe_X,RSmallToe_Y,RHeel_X,RHeel_Y,LHip_X,LHip_Y,LKnee_X,LKnee_Y,LAnkle_X,LAnkle_Y,LBigToe_X,LBigToe_Y,LSmallToe_X,LSmallToe_Y,LHeel_X,LHeel_Y,Neck_X,Neck_Y,Head_X,Head_Y,Nose_X,Nose_Y,RShoulder_X,RShoulder_Y,RElbow_X,RElbow_Y,RWrist_X,RWrist_Y,LShoulder_X,LShoulder_Y,LElbow_X,LElbow_Y,LWrist_X,LWrist_Y,participant_id,video_number,condition,person_tracked,right_knee,left_knee,left_ankle,right_ankle,left_hip,right_hip,right_shoulder,left_shoulder,right_elbow,left_elbow,right_foot,left_foot,right_shank,left_shank,right_thigh,left_thigh,pelvis,trunk,shoulders,head,right_arm,left_arm,right_forearm,left_forearm,LBigToe_vel_X,LBigToe_vel_Y,LBigToe_velocity,LHeel_vel_X,LHeel_vel_Y,LHeel_velocity,RAnkle_vel_X,RAnkle_vel_Y,RAnkle_velocity,Nose_vel_X,Nose_vel_Y,Nose_velocity,RWrist_vel_X,RWrist_vel_Y,RWrist_velocity,RHeel_vel_X,RHeel_vel_Y,RHeel_velocity,RHip_vel_X,RHip_vel_Y,RHip_velocity,LKnee_vel_X,LKnee_vel_Y,LKnee_velocity,RSmallToe_vel_X,RSmallToe_vel_Y,RSmallToe_velocity,LWrist_vel_X,LWrist_vel_Y,LWrist_velocity,Head_vel_X,Head_vel_Y,Head_velocity,RKnee_vel_X,RKnee_vel_Y,RKnee_velocity,RBigToe_vel_X,RBigToe_vel_Y,RBigToe_velocity,LAnkle_vel_X,LAnkle_vel_Y,LAnkle_velocity,LHip_vel_X,LHip_vel_Y,LHip_velocity,RShoulder_vel_X,RShoulder_vel_Y,RShoulder_velocity,LElbow_vel_X,LElbow_vel_Y,LElbow_velocity,Hip_vel_X,Hip_vel_Y,Hip_velocity,RElbow_vel_X,RElbow_vel_Y,RElbow_velocity,Neck_vel_X,Neck_vel_Y,Neck_velocity,LSmallToe_vel_X,LSmallToe_vel_Y,LSmallToe_velocity,LShoulder_vel_X,LShoulder_vel_Y,LShoulder_velocity,right_knee_ang_vel,left_knee_ang_vel,left_ankle_ang_vel,right_ankle_ang_vel,left_hip_ang_vel,right_hip_ang_vel,Trunk_Leg_Angle,Thigh_Leg_Angle
0,0.0,953.2469390679166,564.019113312836,953.2544446423636,564.016195715188,953.2678519914303,678.1206405460163,930.0077827191898,794.3281090545971,959.584346877564,813.352828323325,949.0181627441411,819.6882315769637,921.5505320242048,811.2275061426027,957.4763787732053,561.9015331591869,955.3766088431174,678.1169513058218,936.3500609451826,787.9870446234429,974.3820901796488,807.0124017723818,970.1567879065656,802.7880596287151,921.5551230530564,800.6611083273096,949.0245054054562,403.4240709145806,968.0555579706091,325.2477142013766,974.3825930173969,365.398842807182,940.5721628323133,405.539114338013,953.2528389190186,321.01153548841074,965.9308081804646,249.17023172150428,946.9055001423088,407.6493316544173,963.8177757061868,327.3474369679626,972.2759468547289,259.7343793306457,2,3,baseline,person0,11.325208969048456,8.789899374416228,2.969872227545806,8.122922259398187,-2.5410298100320965,-1.4995070652216926,169.96201936059265,166.59989642513614,-1.4765625761245011,4.763310679042274,-3.188162876663404,-6.854872526211855,-101.31853160357858,-99.82474475375707,-89.99332263453009,-91.03484537934054,26.53589942999547,91.50618443069156,-18.432964643819883,76.31834344040016,81.46820380584673,78.1060808556726,79.99164122027568,82.86939153490441,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.49950706522165,11.32520896904849
1,0.0334722222222222,953.4580294741198,564.3227084156481,954.1400302394086,564.318981511436,954.3061442708143,677.7486517881482,929.5998345136281,793.8773740030284,960.0197775219208,813.5268663091324,949.2152094956846,819.4064577377015,920.6872918775256,810.9123484199873,957.1168656313188,562.8067461890379,955.9349847618847,677.5837813705998,935.7833475517609,787.2732889428746,974.0968864989864,806.8098025445087,970.045301793594,803.0237075581588,921.4606402876035,799.9302643713897,949.5776715255828,403.25653482286725,970.0972020928011,325.5561057415624,974.773574201247,366.3143095993277,940.732188839926,406.1482862751095,952.8333626560847,321.7316969061615,966.3818398493336,250.31215823166968,947.6580178146042,408.2575067691196,963.6668988968084,328.47019848821293,971.9174246408057,261.4788521302956,2,3,baseline,person0,12.0946156564722,9.83097125758894,2.9717502302421406,8.247918310716708,-1.9634261292016768,-1.296269025840988,170.4620934992948,167.26961109841585,-2.5904172820739206,4.33209138787432,-3.7462370454102305,-7.440826723833624,-102.00906424959652,-100.412576954075,-89.91444859312429,-90.58160569648504,42.031013758001315,91.38182043271664,-17.189702201193022,75.20503515821272,81.84391394949972,78.65143153186189,79.25349665984574,82.98352292098079,-8.520607887010271,-6.052757015300293,0.010451632707402637,-2.8227216234883716,-21.83434225154995,0.022016045487814745,-12.187664232547828,-13.46594344935789,0.018162345454996454,11.680765658594291,27.350045242527568,0.02973996067817341,13.474805045047503,34.11564677672558,0.03668034522733319,-25.789747120705098,-9.415500426683163,0.027454739205368308,26.457329040348295,9.045882709483347,0.02796101310652007,16.681770187241696,-15.928728355177103,0.023065251864936766,5.886873905031552,-8.418139596215122,0.010272310287131436,-10.71103709645698,52.11702969908415,0.05320630696014239,60.99517709453246,9.213357217169252,0.06168709411217667,31.019520379937312,-11.113357081534687,0.032950225344040414,13.00871634592944,5.199475094660794,0.01400932697272962,-16.930856566953125,-21.32382116220668,0.027227913123273204,-10.740641583328888,27.04370877563234,0.029098514841186435,4.7808599784697545,18.19932758130716,0.018816804897363988,-4.507522935783497,33.54308276266503,0.0338445884040508,6.306435372047683,9.070061162850587,0.011047041984154163,-12.532070925826861,21.515195883010726,0.024898924787513953,16.526124750669297,-5.005227636248785,0.017267457918447433,-3.3307054497714046,7.040104116158504,0.00778823887406446,22.481855769822577,18.169546995255203,0.028906163302449737,22.986423856643007,31.102562484827942,0.056106304620789464,3.734321865117625,17.256209551780184,6.071841840419398,181.29626902584093,12.094615656472229
2,0.0669444444444444,953.669058513686,564.7983300071633,954.9363139031376,564.7950786118017,955.3251227885188,677.6250737090234,929.2974533868372,793.6881567362115,960.384564569674,813.8907228646364,949.3888588525244,819.3834560833008,919.9095066734952,810.7784338291302,956.8412611395604,563.7926048354217,956.517566658194,677.3718669307817,935.3039952196356,786.8210685015213,973.8141483325472,806.935176991122,969.8477199860079,803.4622140818259,921.2371119305581,799.4889178983666,950.151242905109,403.2363852427581,972.1869041517019,325.91956992449514,975.3535974614143,367.3095318920901,940.9184439629192,406.8672867979444,952.544559433812,322.63666692085144,966.7658191275348,251.5187314557421,948.3290657374308,409.0145562558396,963.6548252171832,329.7998202222114,971.6207242122388,263.31659386107657,2,3,baseline,person0,12.83887664664173,10.817641076663522,2.925520109087908,8.288052816114547,-1.4060755601056096,-1.0500116146619167,170.89348856555026,167.7890547027133,-3.456630890476318,4.135559494530918,-4.327325852822724,-8.047928383697316,-102.63862011731692,-100.9734484927845,-89.79974347067515,-90.15580741611888,56.2429649384167,91.2502681439867,-16.398909181198153,74.09372011244707,82.1437567226818,79.03932284909526,78.68712583410151,83.1748823466131,-8.446949370797691,3.745626620815999,0.009240166256912534,-6.678025604679817,-13.185454795710111,0.014780130044978428,-9.033792999563039,-5.6529639878930835,0.010656707643891252,17.328495739440193,29.7327821904116,0.034413879487414006,11.471580095638073,36.04700088515103,0.037828341527282414,-23.236736385969845,-4.000767859631153,0.023578635697124473,23.789387464102006,14.223647811757749,0.02771727102349895,17.40493632127131,-6.331053803692801,0.018520638504456653,5.187864602683822,-0.6871863555402657,0.005233179169780115,-8.86407919370286,54.90348739262727,0.05561443003236316,62.43093288002393,10.858680983881637,0.06336822810352019,30.442511732247148,-3.691959210370052,0.030665568368759145,10.898202256527842,10.870403317960994,0.015392741169763297,-14.320899548973754,-13.510320239603702,0.019687989152486908,-8.233827139671606,29.453038398187815,0.030582305018607057,5.564468404775961,21.480513545275382,0.022189541923989985,-0.36070744108785524,39.72313894103334,0.039724776615944556,6.304602011934996,14.209441738212014,0.015545296428197708,-8.628146059597814,27.036448571649103,0.028379824802017017,17.135742458873533,-0.6019791567879512,0.017146312971658025,-5.902858981829054,13.100609835699704,0.014369054326106214,20.047904748345765,22.617246076282388,0.03022347274675522,22.235183108799227,29.477272603058054,-1.3811488477613012,1.1990391654126256,16.6511373339904,7.3570678858477745,181.05001161466186,12.838876646641765
3,0.1004166666666666,953.8517055860956,565.4930880934784,955.5477189619722,565.4931138266828,956.2770823857089,677.8743214254041,929.1625864794336,793.8929248580436,960.6370643312591,814.5355641442529,949.5592211531668,819.7170735052493,919.3173267835491,810.9736254385871,956.6821226533274,564.8340616108613,957.1733588425215,677.5841466141535,934.9798805231941,786.7914688320334,973.5692183174942,807.5352021482161,969.598063727132,804.2010359067659,920.8737385136936,799.526253848431,950.7934327357556,403.4702082539961,974.3767326424648,326.3907694728566,976.2414783746036,368.4469438446126,941.1358084057696,407.7457385301317,952.4695828255196,323.8367906393529,967.0697238082809,252.86317060983671,948.932840365852,410.0021921044032,963.8301654327261,331.4121469851255,971.4024943475824,265.2494290266745,2,3,baseline,person0,13.529508026894526,11.743330885384104,2.867935656572764,8.25626976633677,-0.832232554258187,-0.709468718694526,171.2253676218876,168.1652601531052,-3.93716361116931,4.227762036441764,-4.86994891350753,-8.623105143094197,-103.15445410561028,-101.49104079966682,-89.62494607871572,-89.74770991427944,67.99768016353597,91.08452263997869,-16.232712697621597,72.99544074898776,82.30989025589749,79.24978279794904,78.3727266683404,83.47754483964617,-7.317411238097661,17.926062784551306,0.01936203073500074,-10.855969300514161,1.1154308732929121,0.0109131230858449,-4.02921881039825,6.117553847266714,0.007325235101774881,26.525902800674828,33.980772025567965,0.04310819396407684,9.079309964196952,40.16581705178894,0.04117920262539994,-17.691681359388514,5.831450572986612,0.01862797372521555,18.266043251490533,20.85416409602952,0.027722635087766272,19.592131647956446,6.341965644298993,0.02059301218239637,5.089662093880217,9.96699351879622,0.011191318958621767,-6.519730396372608,57.74445308010299,0.05811134782434152,65.42226196470018,14.077330905405837,0.06691968025923428,28.4402867210347,7.44640480473748,0.029398960071585527,7.5435613419628575,19.264967689787678,0.0206892314455738,-9.683094665473925,-0.884305478473389,0.009723390277047798,-4.7543448169178895,31.11406134093572,0.03147520623865179,6.493875471048259,26.24420112758614,0.027035689587259947,5.238379883438896,48.169098311127215,0.0484530974851996,5.456676022194285,20.756258180369322,0.02146153691750287,-2.2399650610167243,35.85431856104004,0.03592422028313371,19.185754276577946,6.98558373823002,0.02041792220881088,-7.458610223676918,22.072685226423427,0.023298804681217207,18.038080185197853,29.50613323509498,0.034583005006141435,20.632970696349112,27.655463165096258,-1.720365386344562,-0.9495350970954237,17.143857436105588,10.17389564715857,180.7094687186944,13.529508026894561
4,0.1338888888888889,953.9831200332378,566.2737442471794,955.8840437785584,566.281691909997,957.0640799113309,678.4266641514012,929.2041486587036,794.5116385702738,960.82422993282,815.4558522261884,949.8049852281137,820.3665586498691,919.002214768494,811.6037254590162,956.6179775627868,565.8013810676686,957.9349466521589,678.0766968973725,934.8639875808012,787.2284949917774,973.4599334647772,808.5634828256478,969.44665489625,805.2121895890414,920.4955475247967,800.1147744148356,951.5394835059966,403.98460516246956,976.6901795123863,327.0147305442428,977.4633219814136,369.7340427359627,941.3986416964204,408.7516175977995,952.6402565063338,325.2974415057907,967.3364519191092,254.3260222306031,949.5710226107916,411.2087549144058,964.122675531614,333.2123344020015,971.2348820983392,267.11592006381443,2,3,baseline,person0,14.102882872687768,12.605664500941982,2.8917114363603487,8.240086311277022,-0.1943228353543047,-0.258806010304552,171.4655716272531,168.55212947287427,-4.030455932304329,4.44400045427436,-5.235416602234044,-9.043967492931516,-103.49738047598522,-101.93567892929326,-89.39449760329744,-89.33001442834727,76.25981360094585,90.86430840700696,-16.63390140380421,71.91654770556978,82.32987998589029,79.41643788754955,78.29942411437132,83.86043834913944,-3.2649416579351254,30.720418578874387,0.030893429102172694,-11.298651950443741,17.58235717059296,0.020899732523924026,1.241691662837656,18.484393062482646,0.018526051524108345,36.503211489759,38.452746961498086,0.053019790625304,7.968640655454134,43.703450910862415,0.04442398963863914,-9.414134889612166,18.824564925685028,0.021047331905995687,10.047878337844557,23.55917925254122,0.025612395166120145,22.7528308273453,14.715195183307383,0.02709664702395164,7.342329210029108,19.40370556540541,0.020746411446257194,-5.007502881955134,55.762387831566194,0.05598677506153387,69.11542515948096,18.64116063892321,0.07158515813310713,23.511959271689637,16.501525423977437,0.028724772759967414,5.591669424224428,27.494083775668148,0.028056931578725155,-3.462361764431632,13.056383195673085,0.013507667864589084,-1.9163678501769716,28.899170493824098,0.02896264008974847,7.852280882513484,30.051158868083682,0.031060110501617524,8.738890921134564,53.78153278633643,0.05448689276678629,3.9260747693954317,23.322507496459316,0.023650653669978858,5.098964738015711,43.63770223382684,0.04393459340482923,22.28865371674459,15.367874444021282,0.02707315366617186,-4.523417354149186,30.20874071528295,0.030545528644353365,19.0660255749593,36.04668975941332,0.04077839101578672,17.12987091166531,25.76266403326435,0.7103137529900847,-0.48348911381819476,19.057883718290217,13.463782159368488,180.2588060103044,14.102882872687786
5,0.1673611111111111,954.0624278657284,566.9168065195163,955.8777095348155,566.9387499676008,957.589150715752,679.0832617578885,929.4207411465952,795.4883853739401,961.0571790929092,816.5841226507447,950.2022540721064,821.2459994459423,919.0216141662746,812.696341776893,956.6274626950876,566.5584128923217,958.7707273267816,678.6064632936047,934.9975902777719,788.0638950607863,973.5912780555992,809.8487348445859,969.5306556685648,806.3607179827379,920.2950922148816,801.202863252222,952.36503318435,404.740768875248,979.039819414312,327.8104451303871,978.9604048325313,371.0671782570796,941.7358265443316,409.7942118306553,953.0709845032436,326.885100633371,967.6566276334963,255.8031467982167,950.3399324481132,412.5314632606815,964.4370838446891,335.0546216469762,971.1130582369492,268.7199259630139,2,3,baseline,person0,14.48451800594585,13.344278132171125,3.053565704034805,8.310808429346874,0.4928957777536185,0.277654694946006,171.6166199383379,169.0815860816201,-3.811116725252413,4.569803900778914,-5.305623487825865,-9.199561162777368,-103.60860782339545,-102.25312686681636,-89.12408981744962,-88.90884873464209,80.21422965079783,90.59825548760423,-17.39876750363827,70.88824593806356,82.21487530647336,79.67984157867103,78.40375869232575,84.24964548697446,3.9239877755944286,38.397570690268196,0.03859755322526491,-5.98870635431282,32.50721837834964,0.03305425616310099,6.47081291626451,29.18081737094095,0.029889655773084854,44.72612667239316,39.828115153698654,0.05988910722169132,9.565415533557672,44.129862600904815,0.04515464480542798,0.5795670706242508,32.64247920627533,0.032647623906212064,-0.18923881721395408,19.629950268659556,0.019630862407953146,24.96938115055202,15.827045862540443,0.029562905401474007,11.868612766587349,26.273749924174115,0.02883008678587769,-3.6395510456774183,47.92050819185266,0.048058520963295465,70.19671076292265,23.77238597609536,0.07411278254747879,15.686762621712584,19.616194052735516,0.025117117483193313,6.959476981918069,33.707664136119156,0.034418613298261465,3.9914498680047292,24.958010360430094,0.025275164751196597,0.2833732471612099,22.616718412873983,0.022618493587426187,10.073572219754642,31.148043471210574,0.03273648529318681,9.393111427971743,55.03928698679619,0.05583505757419084,2.3693626304230535,19.211818924587977,0.01935737238536269,12.86822231431758,47.43213991111268,0.04914670937181928,24.66372483047367,22.59078312035126,0.03344611792875327,2.509566641768187,34.31288147143077,0.034404531091150374,22.971580202138654,39.51659789703445,0.045708369106096935,11.401547549619027,22.066465331327095,4.835480196083345,2.112859958933354,20.531012507788585,16.027041816614187,179.72234530505386,14.48451800594583
6,0.2008333333333333,954.0739962046838,567.2892863363638,955.4866425108396,567.3307911914333,957.8220891060324,679.6490939072847,929.806935291394,796.6896782660386,961.4535393956668,817.8042641463946,950.8078609744812,822.262910869141,919.3710746887333,814.164180244263,956.7120758265833,567.0560623629478,959.5792308114436,679.0018444216411,935.3697193867097,789.1263274754484,973.9756512341901,811.1689969095664,969.8563224807541,807.4326206930917,920.4103993685486,802.5939511652864,953.1834459448671,405.6592585147168,981.2062415898703,328.7354204902946,980.618286027454,372.2469082210607,942.1532589632322,410.7592724103116,953.76075132729,328.47797714678063,968.1448203432608,257.2236133169459,951.2663672788104,413.8001442300705,964.758339913115,336.886326257558,971.0926394291661,270.0236978487071,2,3,baseline,person0,14.663319160868133,13.860829621904449,3.312913657180747,8.497219532347847,1.150952457264039,0.8807521667766964,171.6556093252685,169.74074138333782,-3.3786777227548175,4.530435623587054,-5.048729993264333,-9.085684629582936,-103.47128811622376,-102.39859828677189,-88.80796895535572,-88.53776866486845,79.6531805368568,90.31127887786757,-18.165445110514614,69.99120555000988,81.96688798952084,80.05202026878551,78.58821042714635,84.58245589548498,11.483348074083722,39.443513974520634,0.04108111582769834,3.444861022417569,41.55947292142652,0.041702000635108094,11.537750384030259,35.88924822867135,0.037698246939922554,49.53006059520484,35.24504456707128,0.06079013134629258,14.585010416198216,42.43717400352738,0.04487355865369127,10.440314363910046,43.852435539683924,0.04507811294607839,-11.68333017687501,11.712434902880203,0.01654331693996354,24.154460952557482,11.812216273282946,0.0268880352051881,18.09282031991337,30.380756211748945,0.03536015405970953,-0.6100224731892511,38.95086131531537,0.038955637905478166,64.72298615775811,27.634118636240295,0.07037548898571967,6.959155228293496,16.90452894461695,0.018280944732996622,11.84146962595264,36.45236003601582,0.03832746998038981,11.117550142536832,31.740719442186766,0.03363143160615429,2.5278611899118006,14.867536051901228,0.015080905491715178,12.471010025245437,28.831685367326365,0.031413248354321355,9.597691670812662,54.723125295389806,0.05555840285234015,0.3456101264694762,11.128027723245271,0.011133393344745958,20.60714163126243,47.588012018876434,0.05185820257316712,24.450505708397547,27.440354374170973,0.03675323492668999,9.729464928479214,32.0236494379572,0.03346903959063784,27.67772108307016,37.90250199004423,0.04693246106329321,5.341777242491444,15.432243676680221,7.748154616808234,5.569128388410806,19.659784616078962,18.017849780833913,179.11924783322328,14.663319160868042
7,0.2343055555555555,953.9775414289938,567.4248595451262,954.7244434952624,567.4866223680858,957.8275320086487,680.0177746287874,930.3039386569209,797.9316803578964,962.1095981165671,818.9662104533406,951.6817911954422,823.3030975277842,919.9500522390044,815.8016249625654,956.8496163608288,567.3343702988193,960.2380998658798,679.2446395267866,935.8577245632051,790.1994558885516,974.5042011129866,812.320327638326,970.2807654970316,808.2280723306206,920.7768271906577,803.9808389603485,953.8975894384675,406.6136865554655,982.9958781509264,329.6738152858901,982.3327841469929,373.07929563013107,942.6508117892236,411.52347384455277,954.6668287708924,330.0083635099001,968.8940172439804,258.60966769436,952.3135697959656,414.81608815286603,965.1431176237362,338.7363522105348,971.2561460476328,271.13146008080355,2,3,baseline,person0,14.732149361652253,14.12396708104972,3.574694356977947,8.80808389484641,1.7078486598144067,1.5574725328537815,171.58417687172303,170.41044080640972,-2.873713766756613,4.3967082041127545,-4.531735612522393,-8.818795082512656,-103.15204784707662,-102.3934894395032,-88.4198984854245,-88.26952235846389,75.22302839883115,90.022628981722,-18.57977390537006,69.2866396831797,81.60680555138886,80.43306978623554,78.7330919595511,84.82977798073811,15.790701773175865,34.39660268493457,0.03784801895416228,10.94722124143553,41.43399221762055,0.04285577398669609,14.848233326942564,37.105456686207084,0.039966047450596336,51.22152058373612,24.868005582185617,0.056939106706601204,22.382645996602708,41.40909343311915,0.047071178663403226,17.297254613909676,48.91951025633749,0.0518875081392268,-22.771090921807588,4.655537227793167,0.023242130036823128,19.684054738344116,7.253629697295248,0.020978015986446646,26.10911863451771,31.076115942865588,0.04058831183931828,4.884845033031772,33.094971249353364,0.03345353244415694,53.46632049628277,28.0350312377092,0.06037060877538471,0.16260953874700163,11.014527779332163,0.011015728031490766,19.600094566314347,34.71374858925794,0.039864872358088305,14.579407762521134,32.06026794333041,0.03521959555849557,4.109094799036534,8.314593934749293,0.00927454216483158,14.864648743311513,22.83091421799328,0.027243502460061925,11.495433678309002,55.2704849022111,0.05645326825594729,-2.8816364521487925,4.050319929832587,0.00497080679330345,27.06953358480149,45.721086367054866,0.05313358059723047,21.335407277689484,28.514032752657975,0.03561249313828698,12.680455258080627,23.764530249826716,0.026935976751310018,31.2857183548435,30.351851635385042,0.04358934583903522,2.0563379487372027,7.861368074049616,7.820834184812613,9.287234066347128,16.63756289777034,20.217371932593437,178.44252746714648,14.73214936165212
8,0.2677777777777778,953.7540283002361,567.4194116724517,953.7254581389883,567.4898785686296,957.7838575895784,680.1763375852314,930.8158920559908,799.0087589328945,963.0166236576044,819.8978987240972,952.7982997727372,824.2031765412672,920.5935129266496,817.2829981069708,956.9775509760758,567.4420046080506,960.6999601583448,679.4045785050623,936.2722296525465,791.0813710054083,975.0162971811556,813.1422971977461,970.5968349514247,808.6554810738484,921.1264205520127,805.0415329532024,954.47179177982,407.4391132645611,984.4191502987591,330.48042219069276,984.037559495606,373.47699231802113,943.245710461342,411.9751944569788,955.7012157367376,331.4312838542304,969.9189293011684,260.0329184776581,953.3833569989504,415.39435018279954,965.650695739926,340.5595695091252,971.6754226234962,272.11320424282957,2,3,baseline,person0,14.86119793069832,14.23894290700285,3.787368134516852,9.201879368408292,2.16397864743958,2.3248715947573397,171.46102354685095,170.94974844097345,-2.4587604385422352,4.284338765827302,-3.936098347353259,-8.550203426748975,-102.79893363768484,-102.33757156128082,-87.9377357069867,-88.09862865430433,68.12208373622238,89.73739269825671,-18.467519398137245,68.7387579880953,81.19841592624002,80.6871411156173,78.7396555835029,84.97147984729577,15.299135646540686,24.556766920432793,0.02893265202354797,10.444282994837641,31.688783188996464,0.03336558147665764,15.294873333210187,32.178281078780095,0.03562828824773822,50.931047759392996,11.881394824930203,0.05229855799977136,30.619779301882723,42.5203553516438,0.05239801049396885,19.223721788570344,44.25679103617903,0.04825158061892243,-29.845205664619563,0.09728068014538652,0.029845364207765488,13.79831579148477,4.778259931888386,0.01460223567328743,33.35627284864906,26.89032737376564,0.0428454273478724,12.526105171022143,29.330116043932197,0.03189293053179711,42.52099362819574,24.09779964555674,0.04887472605433669,-1.3047959224346777,4.7371505659620645,0.004913561629184768,27.097858487423963,27.834670329658458,0.03884665760352136,12.383554536336552,26.347671540948713,0.029112750103419297,3.8221129866345,3.215630815209862,0.004994880301101052,17.772906386938857,13.49538759114981,0.02231595141763515,15.164159487829334,54.469562447514456,0.05654100252202822,-6.67757065168502,-0.16275802181184873,0.006679553875964263,30.90284711238871,42.51048331609129,0.052555943064693904,17.154592770694503,24.660051060118462,0.03003994293296866,9.442738886436418,12.769057888959233,0.015881251746918772,31.96044755805158,17.275878072701925,0.03633078820083358,3.855392934156383,3.4349624351142283,6.353739411950687,11.764844023425498,13.62711996224581,22.92644500292783,177.6751284052434,14.86119793069814
9,0.30125,953.4467510312053,567.3051308427606,952.7273513465931,567.3506235577423,957.9838814380715,680.1409214325574,931.2968864057788,799.6926588032379,963.9778077204014,820.4122915350907,953.9384428703288,824.7499506671921,921.1631062162952,818.195077166999,957.0616118485752,567.3592181775581,961.0793112270077,679.4744884674658,936.5162484477894,791.6008263382154,975.4009243687875,813.5116466699844,970.6619835547772,808.7187087834365,921.193098636652,805.532863127727,954.9463729400302,407.97586688947,985.7069537491684,331.0512084899533,985.6699787114044,373.5141681082435,943.9176841073808,412.058644880753,956.736016217268,332.6817898393651,971.1161200748937,261.5368736136734,954.3243907540472,415.4118265272474,966.2998296248694,342.12483335444887,972.3989176125411,272.9134572409334,2,3,baseline,person0,15.259083532559648,14.403395709149008,3.976355695776398,9.55741752845822,2.592916890211237,3.2084651854883948,171.35984710238532,171.24338122419948,-2.24595167309844,4.2685985108089906,-3.5204224920092755,-8.377458320834934,-102.59395354480384,-102.35381401662232,-87.33487001224434,-87.9504183075211,59.585521250476006,89.45666480226869,-17.73151161505788,68.2080536310801,80.8165117534837,80.70004596568145,78.57055992191813,84.96864440521823,11.490936725935018,11.03450705442292,0.015931163572493735,1.9920423626656947,14.678743803225425,0.014813296473620702,14.36995567831335,20.431863346360377,0.024979124604377845,48.76937076244107,1.1106460149427095,0.04878201573464292,35.76669531461703,44.931439748175265,0.05742900636065848,17.01689496036541,27.248834988394787,0.03212590422566931,-29.81895811305503,-4.160315677957388,0.030107781211646742,11.333309935154947,2.0885963871592486,0.011524155021290563,34.062366401076346,16.33516060854666,0.03777674254019515,21.614788054456536,23.907973387334124,0.03223026922209235,38.47379602882712,17.052536741392377,0.042083512094219636,5.975816220542485,-1.0580759305093905,0.006068764633467175,28.71587241551183,15.36775202968206,0.03256945088621775,7.290188073647984,15.5189974946508,0.01714602360281057,2.511362165955608,-2.4732875499843536,0.003524782437754258,20.075561209457035,2.4931246936697273,0.020229775792451127,19.393211500382673,46.76306923788596,0.05062490786999904,-9.180067788471801,-3.4141990613113404,0.009794406558398357,30.915201078086497,37.3595149085888,0.0484920922615594,14.178358313332348,16.035792943336524,0.02140496437237871,1.9463483159218127,1.8889606183999517,0.0027122765317639727,28.11387152156409,0.522114854874285,0.02811871931387866,11.887038727807289,4.913112761213023,5.646101415222947,10.62188693925096,12.814752481144936,26.397816818521136,176.79153481451303,15.259083532559501
